,survey,random_order,reason,translation,roy_categorized
1,ecv2020,1,Craindre la COVID-19,Fear of COVID-19,31
2,ecv2020,2,IL ATTEND L'�GE DE 9MOIS POUR D'AUTRES VACCINS,He is waiting until the age of 9 months for other vaccines,32
3,ecv2021,3,L’ENFANT N’A PAS EU LES VACCINS PARCEQUE JE CROIYAIS QUE CE  LES VACCINS DE LA COVID 19,The child didn't receive vaccines because I believed it was the COVID-19 vaccines,27
4,ecv2021,4,MON ABSENCE,My absence,25
5,ecv2020,5,ON SE DEPLACE TROP,We move around too much,25
6,ecv2020,6,"L,enfant a encore 6mois",The child is still 6 months old,32
7,ecv2021,7,PASSÉ BEAUCOUP DE TEMP AU CHAMP,Spent a lot of time in the field,34
8,ecv2021,8,CRAINTE DE VACCINER L ENFANT LE VACCIN DE COVID19,Fear of vaccinating the child with the COVID-19 vaccine,27
9,ecv2020,9,Encore en cours de sa vaccination,Still in the process of being vaccinated,32
10,ecv2021,10,GRÈVE  DES PROSANTE NON MEDECINS,Strike by non-doctor health professionals,23
11,ecv2021,11,LE DECE DE SON MARI,The death of her husband,4
12,ecv2021,12,DEPLACEMENT DES PARENTS VERS LE CAMPEMENT,Parents moving to the campsite,25
13,ecv2020,13,TRAVAUX CHAMP�TRE DE LA MERE,Mother's fieldwork,34
14,ecv2021,14,MON ENFANT AVAIT REÇU TOUS PES VACCINS,My child had received all his vaccines,35
15,ecv2021,15,A PRIS PAS MENTIONNE,Reason not mentioned,28
16,ecv2020,16,JE SUIS TOUJOURS AU CAMPEMENT POUR LES TRAVAUX DE CHAMP,I am always at the camp for fieldwork,34
17,ecv2020,17,ON ATTENT LE VACCIN DE 9 MOIS,Waiting for the 9-month vaccine,32
18,ecv2020,18,ENFANT A MOIN DE 9 MOIS  POURSUIT SON CALENDRIER VACCINAL,Child is less than 9 months old and continues his vaccination schedule,32
19,ecv2022,19,BEBE  AMENER LONGTEMPS  AU CHAMP,Baby spent a long time in the field,34
20,ecv2020,20,DIEU GARDE,God keeps (or God protects),21
21,ecv2020,21,�ge inf�rieure,Younger age,32
22,ecv2021,22,"MAMAN ETAIT ALLE AU DEUIL AVEC L'ENFANT, RUPTURE EN VAR ET VAA  TROIS RENDEZ-VOUS","Mother was away at a funeral with the child, stockout of VAR and VAA, missed three appointments",17
23,ecv2021,23,VOYAGE DE SA MERE,Mother's travel,25
24,ecv2021,24,FERMETURE DE CS PAR LA GREVE DES INFIRMIERS,Closure of health center due to nurses' strike,23
25,ecv2020,25,"Nos enfants d�veloppent les autres maladies apr�s injection des vaccins qui nous co�te tr�s cher dans le payement des soins m�dicaux. Donc, mieux vaut ne pas prendre les injections.","Our children develop other diseases after the vaccine injections, which costs us a lot in medical payments. Therefore, it's better not to take the injections.",10
26,ecv2021,26,ALLEZ AU CAMPEMENT POUR LES TRAVAUX CHAMPETRE,Going to the camp for fieldwork,34
27,ecv2020,27,M�re  malade,Mother sick,4
28,ecv2021,28,"ENFANT VACCINÉ SELON LA MÈRE MAIS LE CS N,A PAS SIGNIFIÉ SUR LA CARTE","Child vaccinated according to the mother, but the health center did not record it on the card",35
29,ecv2022,29,INSECURITE CONFLIT ETHNIQUE,Insecurity due to ethnic conflict,26
30,ecv2020,30,Rupture des seringue,Stockout of syringes,36
31,ecv2020,31,Calendrier de vaccination en cours,Vaccination schedule in progress,32
32,ecv2020,32,MAUVAISE SENSIBILISATION DE PARENT PAR LES PRESTATEURS DU CS POUR QUE LES ENFANTS SOIENT VACCINES AVEC TOUS LES ANTIGINES,Poor sensitization of parents by the health center's providers for vaccinating children with all antigens,2
33,ecv2021,33,LA  GRÈVE  DES INFIRMIERS,Nurses' strike,23
34,ecv2022,34,LES ETUDES DE LA MERE,Mother's studies,3
35,ecv2020,35,Calendrier vaccinal encours,Vaccination schedule in progress,32
36,ecv2020,36,LENFANT A MOINS DE 6MOIS POUR RECEVOIR VAA ET LE VAR,The child is under 6 months old to receive VAA and VAR,32
37,ecv2022,37,DEPLACEMENT DE LA MERE VERS PUNIA,Mother's travel to Punia,25
38,ecv2020,38,La maman �tais d�courag� car elle a vu juste dans la distribution des intrants nutritifs au centre elle a d�cid� de ne plus partir avec l'enfant au vaccin,The mother was discouraged because she saw only the distribution of nutritional inputs at the center and decided not to go for the child's vaccination anymore,42
39,ecv2021,39,Ne sais pas,Don't know,28
40,ecv2022,40,PAS DE PROGRAMME DE VACCINATION AU VILLAGE,No vaccination program in the village,17
41,ecv2020,41,PARESSE DE LA MAMAN,Mother's laziness,39
42,ecv2022,42,DÉPLACEMENT DE MÈRE DE L'ENFANT VERS ILOTS,Mother of the child moved to islets,25
43,ecv2022,43,ENFANT A BEAUCOUP PLEURE LORS DE LA PREMIERE VACCINATION,Child cried a lot during the first vaccination,10
44,ecv2022,44,Insecurity suite massacre,Insecurity following a massacre,26
45,ecv2020,45,IL A TOUT PRIS,He has taken everything,35
46,ecv2021,46,CONFLIT COMMUNAUTAIRE,Community conflict,26
47,ecv2021,47,PAS NOTIFIER,Not notified,11
48,ecv2022,48,LA FAMILLE ABSENTE,The family was absent,25
49,ecv2020,49,Trop des d�placements pour moi.,Too much moving around for me,25
50,ecv2021,50,GREVE DES PRESTATAIRES DES SOINS,Strike by healthcare providers,23
51,ecv2021,51,LE VACCIN CONTIENT LE CORONAVIRUS,The vaccine contains the coronavirus,27
52,ecv2020,52,OUBLI�,Forgotten,37
53,ecv2021,53,NÉGLIGEANCE DE LA MERE,Mother's negligence,39
54,ecv2020,54,NOUS SOMMES  OBLIG�S  DE PAYER UNE FOIS L' ENFANT MALADE  APR�S  VACCINATION,We are forced to pay once the child gets sick after vaccination,10
55,ecv2020,55,"L'INFIRME TITULAIRE ( IT ) D'AIRE DE SANT� SWAMASANGU A REFUSE DE DONN�ES DES ENFANTS DE LA VILLAGE MAMBAMBA LES VACCIN, POUR UNE CONFLIT D'UNE BICYCLETTE DE RE.CO",The head nurse of Swamasangu health area refused to give vaccines to children from the village of Mambamba due to a conflict over a bicycle from RE.CO,42
56,ecv2021,56,JE SORS SOUVENT,I often go out,25
57,ecv2020,57,Nous �tions en Ouganda et sans carte de r�fugi�s,We were in Uganda and without refugee cards,40
58,ecv2020,58,LES VACCINS DE 9 MOIS SONT DONNES SELON LE NOMBRE D ENFANTS PRESENTS AU MOINS 10 ENFANTS ON OUVRE LES VACCINS,"The 9-month vaccines are given depending on the number of children present, at least 10 children to open the vaccines",38
59,ecv2020,59,N A PAS ENCORE ATTEINT 9 MOIS,Has not yet reached 9 months,32
60,ecv2020,60,On devait atteindre un effectif consid�rable pour ouvrir le flacon de VAA et VAR,A significant number of participants was required to open the vial of VAA and VAR,38
61,ecv2020,61,Craintes de la mort causer par le vaccins,Fears of death caused by vaccines,10
62,ecv2021,62,"RUPTURE DE PCV1,2,3.","Stockout of PCV1,2,3.",17
63,ecv2021,63,ELLE A TOUT RECU,She received everything,35
64,ecv2020,64,FATIGUE  SOUVENT,Often tired,3
65,ecv2020,65,Crainte de covid,Fear of COVID,31
66,ecv2020,66,NEGLIGENCE DE LAMERE,Mother's negligence,39
67,ecv2020,67,Calendrier encours,Schedule in progress,32
68,ecv2020,68,"Elle souhaite d,�tre rappel� par le Reco",She wishes to be reminded by the Reco,11
69,ecv2021,69,NEGLIGENCE PARENTS,Parental negligence,39
70,ecv2021,70,LES PARENTS SE SONT DEPLACES AVEC L'ENFANT DANS LA FORET POUR LES TRAVAUX CHAMPETRES,Parents moved with the child to the forest for fieldwork,34
71,ecv2020,71,L'enfant a 6 mois son calendrier est en cours.,"The child is 6 months old, his schedule is in progress.",32
72,ecv2020,72,Oublie,Forgotten,37
73,ecv2021,73,QUAND LE VACCINE IL TOMBE MALADE,Gets sick when vaccinated,10
74,ecv2021,74,LES VACCINATEURS MA DIT FINI,The vaccinators told me it's finished,35
75,ecv2020,75,MANQUE DE PERSONNE POUR M'AIDER A TRANSPORTER L'AUTRE JUMEL QUI VIENT DE DECEDER,Lack of someone to help me transport the other twin who just died,4
76,ecv2020,76,MAMAN ETAIT MALADE,Mother was sick,4
77,ecv2020,77,"ENFANT ETAIT SEUL POUR RECEVOIR LE VAR ET VAA, RENDEZ VOUS REPORTE","Child was alone to receive VAR and VAA, appointment postponed",38
78,ecv2021,78,PAR NÉGLIGENCE,By negligence,39
79,ecv2020,79,VPO non re�u suite au non respect de rendez-vous par la m�re.,OPV not received due to the mother missing the appointment.,41
80,ecv2022,80,PERSONNEL ABSENT,Staff absent,16
81,ecv2020,81,L'enfant na pas beneficie de rotavirus,The child did not benefit from the rotavirus vaccine,33
82,ecv2020,82,M�RE TR�S NEGLIGENTE,Very negligent mother,39
83,ecv2020,83,VENANT DE KIVU,Coming from Kivu,25
84,ecv2021,84,RUPTURE EN VAR ET VAA  A TROIS SEANCE  DE VACCINATION,Stockout of VAR and VAA at three vaccination sessions,17
85,ecv2022,85,RUPTURE DE VAA,Stockout of VAA,17
86,ecv2022,86,MAQUIS DANS  LES  CAMPEMENTS  LOINTAINS,Lack of supplies in distant camps,17
87,ecv2022,87,ENFANT MALADE NON ENVOYER,Sick child not sent,5
88,ecv2020,88,DEPLACEMENT DE LA MAMAN,Mother's move,25
89,ecv2020,89,ATTENDS LE VACCIN DE 9 MOIS,Waiting for the 9-month vaccine,32
90,ecv2022,90,RUPTURE DE STOCK BCG,Stockout of BCG,17
91,ecv2021,91,TOUJOURS AU CHAMPS,Always in the fields,34
92,ecv2020,92,NEGLIGENGE DE LA MERE,Mother's negligence,39
93,ecv2021,93,LES CENTRES DE SANTÉ FERMÉ SONT FERMÉS,Health centers are closed,16
94,ecv2020,94,Rupture en rotavirus et en retard de compl�ter les deux derni�res doses VAA ET VAR,Stockout of rotavirus and delay in completing the last two doses of VAA and VAR,17
95,ecv2022,95,LES DATES NE SONT PAS ECRITES SUR LA FICHE,Dates are not written on the card,29
96,ecv2020,96,NOUS VIVONS REGULIEREMENT AU CHAMP,We regularly live in the field,34
97,ecv2021,97,PROCHAINE RDV,Next appointment,32
98,ecv2020,98,L' enfant n'a que 8 mois,The child is only 8 months old,32
99,ecv2022,99,L'ENFANT RESTE SOUVENT AU CHAMPS AVEC SES PARENTS,The child often stays in the fields with his parents,34
100,ecv2020,100,Il est compl�tement vaccin�,He is fully vaccinated,35
101,ecv2020,101,LES PARENTS ETAIENT A LA CAMPAGNE DE CHENILLE,Parents were at a caterpillar campaign,25
102,ecv2020,102,Voyage aussi,Travel as well,25
103,ecv2020,103,INSTABILITE SUITE AUX DIVERS DEPLACEMENTS,Instability due to various movements,25
104,ecv2022,104,NOMBRE D ENFANT INSUFFISANT POUR VACCINER,Insufficient number of children to vaccinate,38
105,ecv2020,105,ENFANT MOIN DE 9MOIS CALENDRIER VACCINAL ENCOURS,"Child under 9 months, vaccination schedule in progress",32
106,ecv2021,106,DECES DE 2 JUMEAUX SUR 3,Death of 2 twins out of 3,4
107,ecv2020,107,PAS D'ARGENT POUR ACHETER LA FICHE,No money to buy the card,19
108,ecv2020,108,MERE OCCUPEE,Mother busy,3
109,ecv2020,109,LA M�RE D�CLARE QUE JOS� A PRIS TOUT LE VACCIN,The mother declares that Jos� has taken all the vaccines,35
110,ecv2022,110,FAMILLE ETAIT AU CHAMPS,Family was in the fields,34
111,ecv2022,111,DEPLACEMENT DE LA MERE,Mother's move,25
112,ecv2020,112,LA VACCINATION NE WE FAIT PAS EN BROUSSE OH ON CULTIVE NOS CHAMPS,Vaccination does not happen in the bush where we farm,34
113,ecv2020,113,L'enfant a 8 mois,The child is 8 months old,32
114,ecv2020,114,Il reste le dernier rendez-vous,The last appointment remains,32
115,ecv2022,115,MERE EPROUVEE,Mother is distressed,4
116,ecv2020,116,La structure n'a pas organis� le reste des s�ances de vaccination,The facility did not organize the rest of the vaccination sessions,18
117,ecv2022,117,FUIRE LA GUERRE ENTRE TEKE ET YAKA,Fleeing the war between Teke and Yaka,26
118,ecv2021,118,GREVE DU PERSONNEL(PROSANTE).,Strike by the health staff,23
119,ecv2022,119,L enfant et sa mere vivaient loin des FOSA,The child and his mother lived far from the health facilities,1
120,ecv2022,120,L'ENFANT SE DEPLACES À TOUT MOMENT AVEC SA MERE,The child moves around at any time with his mother,25
121,ecv2020,121,L ENFANT A REUSSI TOUT SES VACCINS,The child has received all his vaccines,35
122,ecv2020,122,"ENFANT NE A DOMICILE ,PAS D 'INT�R�T POUR LA M�RE","Child born at home, no interest from the mother",12
123,ecv2022,123,MERE EN DEPLACEMENT,Mother in transit,25
124,ecv2020,124,Le calendrier vacc en cour,Vaccination schedule in progress,32
125,ecv2020,125,Craintes des effets secondaires lieu � la vaccination.,Fears of side effects related to vaccination,10
126,ecv2020,126,L'enfant attend le vaccin de 9mois,The child is waiting for the 9-month vaccine,32
127,ecv2020,127,Manque d'administration de rotavirus,Lack of administration of rotavirus vaccine,17
128,ecv2020,128,CHAQUE MARDI ELLE VOYAGE POUR ALLER VENDRE .,Every Tuesday she travels to sell,25
129,ecv2020,129,LA MERE A ACCOUCHE DANS UN BATEAU AU COURS D UN VOYAGE,The mother gave birth on a boat during a trip,40
130,ecv2022,130,L'ENFANT VACCINER  MAIS LES VACCIN  NON MENTIONNÉS  DANS LA FICHE,The child was vaccinated but the vaccines are not mentioned on the card,29
131,ecv2020,131,D�PLACEMENT DES PARENTS DE KISANGANI POURNBOMESA,Parents' movement from Kisangani to Bomesa,25
132,ecv2020,132,VOYAGE DE LA MERE DE DELPHIN,Delphin's mother's trip,25
133,ecv2020,133,Par aublie,By forgetfulness,37
134,ecv2020,134,Maman a perdu la carte,Mother lost the card,29
135,ecv2020,135,L'enfant a 6 moid,The child is 6 months old,32
136,ecv2020,136,LA M�RE TROP OCCUPE LE JOUR DE LA VACCINATION,Mother too busy on the day of vaccination,3
137,ecv2020,137,PAS DE VACCIN POUR L ENFANT NEE EN DEHORS DU CENTRE,No vaccine for the child born outside the center,40
138,ecv2022,138,LA MERE DE L’ENFANT PASSE PLUS DE JOURS AU CHAMP,The child's mother spends most of her days in the field,34
139,ecv2020,139,ELLE RESTE AUX CHAMPS ET ELLE EST VENU UNIQUEMENT POUR LES MOUSTIQUAIRES ET CHAQUE FOIS QU IL Y A VACCIN ELLE EST TOUJOURS AUX CHAMPS,"She stays in the fields and only came for the mosquito nets, and whenever there is a vaccination, she is always in the fields",34
140,ecv2020,140,coupole HOSTILE � LA VACCINATION  ET �VOQUE LES EFFETS SECONDAIRES DE LA VACCINATION,Couple hostile to vaccination and mentions side effects of vaccination,9
141,ecv2022,141,"MERE RESTÉE  A L,ETRANGE",Mother stayed abroad,25
142,ecv2020,142,DONC L'ENFANT EST NE DANS LA BROUSSE.,"Therefore, the child was born in the bush",40
143,ecv2020,143,LA MERE NE CONNA�T PAS,Mother does not know,28
144,ecv2020,144,Effets n�fastes,Adverse effects,10
145,ecv2021,145,TRAVAUX CHAMPETRE,Fieldwork,34
146,ecv2022,146,"MERE CESARISEE, CONGE MEDICAL","Cesarean mother, medical leave",4
147,ecv2020,147,L'enfant n'a pas encore atteint 9 mois .,The child has not yet reached 9 months,32
148,ecv2022,148,"IGNORANCE, ABSENCE DE FOSA DANS LE VILLAGE, PAS DE SENSIBILISATION DANS LE CADRE DE VACCINATION","Ignorance, absence of health facilities in the village, no awareness in the context of vaccination",12
149,ecv2020,149,DEPUIS LA MORT DE SA M�RE ON A PERDU SA FICHE,"Since the death of his mother, we lost his card",4
150,ecv2020,150,Passe le gros de son temps au champs,Spends most of his time in the fields,34
151,ecv2020,151,LES VACCINS SONT CAUSES DES MALADIES,Vaccines cause diseases,8
152,ecv2020,152,L' enfant reste longtemps au champ et le vaccinateur n' arrive pas la bas,"The child spends a lot of time in the field, and the vaccinator does not reach there",34
153,ecv2020,153,SUIS SOUVENT AU CHAMP,I am often in the field,34
154,ecv2020,154,J'attends le 9ieme mois,I'm waiting for the 9th month,32
155,ecv2020,155,LA FAMILLE VIVENT AU NIVEAU DES �LO ET CAMPEMENT AVEC ACCESSIBILITE DIFFICILE,The family lives at the level of rivers and camps with difficult accessibility,1
156,ecv2020,156,Son �ge ne lui permet pas de recevoir tous,His age does not allow him to receive all,32
157,ecv2021,157,RUPTURE AU CENTRE DE SANTE,Stockout at the health center,17
158,ecv2022,158,NON VACCINÉE,Unvaccinated,33
159,ecv2020,159,Rupture des vaccins,Stockout of vaccines,17
160,ecv2021,160,FERTURE DE CS POUR LA GREVE DES INFIRMERS,Closure of health centers due to nurses' strike,23
161,ecv2020,161,"L'INFIRME TITULAIRE ( IT ) D'AIRE D� SANT� SWAMASANGU � REFUSE DE DONN�ES AUX ENFANTS DE LA VILLAGE MAMBAMBA LES VACCIN, POUR UNE CONFLIT D'UNE BICYCLETTE DE RE.CO",The head nurse of Swamasangu health area refused to give vaccines to children from the village of Mambamba due to a conflict over a RE.CO bicycle,42
162,ecv2020,162,CAUSE COVID19,Due to COVID-19,31
163,ecv2020,163,Age,Age,32
164,ecv2020,164,EN VOGAGE A KINSHASA,Travelling to Kinshasa,25
165,ecv2020,165,L'ENFANT ETAIT NE A TSHITOLO PAS DE CENTRE DE SANT�,"The child was born in Tshitolo, no health center",40
